id|title|year|country|directorName|Actor1|Actor2|Actor3|rtAllCriticsRating|MovieStarPower|MovieStarPowerWCntry|AudienceRating|StarAud|Genre1|Genre2|Genre3|Actor1NameEndsInA
68|Gazon maudit|1995|France|Josiane Balasko|Victoria Abril|Josiane Balasko|Alain Chabat|6.1|31|29.14|3.4|3.691400|Romance|Comedy|Romance|T
77|Nico Icon|1995|Germany|Susanne Ofteringer|Andy Warhol|Billy Name|Jackson Browne|7.1|6|5.88|4.0|4.058800|Documentary|Documentary|Documentary|F
79|The Juror|1996|USA|Brian Gibson|Demi Moore|Alec Baldwin|Joseph Gordon-Levitt|4.4|132|43.56|2.8|3.235600|Thriller|Drama|Thriller|F
84|Last Summer in the Hamptons|1995|USA|Henry Jaglom|Victoria Foyt|Viveca Lindfors|Jon Robin Baitz|5.6|20|6.60|3.3|3.366000|Comedy|Drama|Comedy|T
86|White Squall|1996|USA|Director Ridley Scott|Jeff Bridges|Caroline Goodall|John Savage|5.8|111|36.63|3.2|3.566300|Adventure|Drama|Adventure|F
93|Vampire in Brooklyn|1995|USA|Wes Craven|Eddie Murphy|Angela Bassett|Allen Payne|3.6|115|37.95|2.4|2.779500|Romance|Comedy|Romance|F
95|Broken Arrow|1996|USA|John Woo|John Travolta|Christian Slater|Samantha Mathis|5.8|154|50.82|2.9|3.408200|Adventure|Action|Thriller|F
102|Mr. Wrong|1996|USA|Nick Castle|Ellen DeGeneres|Bill Pullman|Joan Cusack|3.1|99|32.67|2.4|2.726700|Comedy|Comedy|Comedy|F
104|Happy Gilmore|1996|USA|Dennis Dugan|Adam Sandler|Christopher McDonald|Julie Bowen|5.5|88|29.04|3.7|3.990400|Comedy|Comedy|Comedy|F
118|If Lucy Fell|1996|USA|Eric Schaeffer|Sarah Jessica Parker|Eric Schaeffer|Ben Stiller|4|90|29.70|3.1|3.397000|Romance|Comedy|Romance|F
120|Race the Sun|1996|USA|Charles T. Kanganis|Halle Berry|James Belushi|Casey Affleck|4.8|106|34.98|2.9|3.249800|Drama|Drama|Drama|F
136|From the Journals of Jean Seberg|1995|USA|Mark Rappaport|Mary Bet Hurt|Mary Beth Hurt|Jean Seberg|7.6|33|10.89|4.0|4.108900|Documentary|Documentary|Documentary|F
154|Belle de jour|1967|France|Luis Buñuel|Catherine Deneuve|Jean Sorel|Michel Piccoli|8.6|60|56.40|4.0|4.564000|Drama|Drama|Drama|F
159|Clockers|1995|USA|Spike Lee|Harvey Keitel|John Turturro|Delroy Lindo|6.5|170|56.10|3.5|4.061000|Mystery|Crime|Drama|F
161|Crimson Tide|1995|USA|Tony Scott|Denzel Washington|Gene Hackman|George Dzundza|7.4|189|62.37|3.5|4.123700|War|Thriller|Drama|F
168|First Knight|1995|USA|Jerry Zucker|Sean Connery|Richard Gere|Julia Ormond|5.2|169|55.77|3.0|3.557700|Action|Romance|Drama|F
170|Hackers|1995|USA|Iain Softley|Jonny Lee Miller|Angelina Jolie|Jesse Bradford|4.7|98|32.34|3.2|3.523400|Adventure|Crime|Action|F
177|Lord of Illusions|1995|USA|Clive Barker|Scott Bakula|Kevin J. O'Connor|Famke Janssen|5.7|62|20.46|3.0|3.204600|Horror|Horror|Horror|F
186|Nine Months|1995|USA|Chris Columbus|Hugh Grant|Julianne Moore|Tom Arnold|4.3|143|47.19|2.7|3.171900|Romance|Comedy|Romance|F
188|The Prophecy|1995|USA|Gregory Widen|Christopher Walken|Elias Koteas|Eric Stoltz|5.2|150|49.50|3.3|3.795000|Mystery|Fantasy|Horror|F
193|Showgirls|1995|France|Paul Verhoeven|Elizabeth Berkley|Gina Gershon|Kyle MacLachlan|2.9|56|52.64|2.3|2.826400|Drama|Drama|Drama|F
195|Something to Talk About|1995|USA|Lasse Hallström|Julia Roberts|Dennis Quaid|Robert Duvall|5.3|234|77.22|3.0|3.772200|Romance|Comedy|Drama|T
202|Total Eclipse|1995|UK|Agnieszka Holland|Leonardo DiCaprio|David Thewlis|Romane Bohringer|4.9|88|79.20|3.4|4.192000|Romance|Drama|Romance|F
204|Under Siege 2: Dark Territory|1995|USA|Geoff Murphy|Steven Seagal|Eric Bogosian|Katherine Heigl|4.5|51|16.83|2.6|2.768300|Action|Action|Action|F
209|White Man's Burden|1995|France|Desmond Nakano|John Travolta|Harry Belafonte|Kelly Lynch|4.5|117|109.98|2.8|3.899800|Drama|Drama|Drama|F
211|The Browning Version|1951|UK|Anthony Asquith|Michael Redgrave|Jean Kent|Nigel Patrick|7.8|15|13.50|4.3|4.435000|Drama|Drama|Drama|F
213|Utomlyonnye solntsem|1994|Russia|Nikita Mikhalkov|Nikita Mikhalkov|Oleg Menshikov|Ingeborga Dapkunaite|7|17|17.00|4.3|4.470000|Drama|Drama|Drama|T
218|Boys on the Side|1995|USA|Herbert Ross|Whoopi Goldberg|Mary-Louise Parker|Drew Barrymore|6|137|45.21|3.1|3.552100|Comedy|Drama|Comedy|F
220|Castle Freak|1995|USA|Stuart Gordon|Jeffrey Combs|Barbara Crampton|Jonathan Fuller|5.4|25|8.25|3.4|3.482500|Horror|Horror|Horror|F
227|Drop Zone|1994|USA|John Badham|Wesley Snipes|Gary Busey|Yancy Butler|4.1|92|30.36|2.7|3.003600|Action|Thriller|Action|F
229|Death and the Maiden|1994|UK|Roman Polanski|Sigourney Weaver|Ben Kingsley|Stuart Wilson|7|117|105.30|3.6|4.653000|Thriller|Drama|Thriller|F
234|Exit to Eden|1994|USA|Garry Marshall|Dana Delany|Paul Mercurio|Rosie O'Donnell|2.4|29|9.57|2.3|2.395700|Comedy|Comedy|Comedy|T
236|French Kiss|1995|UK|Lawrence Kasdan|Meg Ryan|Kevin Kline|Timothy Hutton|5.7|149|134.10|3.2|4.541000|Action|Romance|Comedy|F
238|Far from Home: The Adventures of Yellow Dog|1995|USA|Phillip Borsos|Mimi Rogers|Bruce Davison|Jesse Bradford|5.2|70|23.10|3.4|3.631000|Children|Adventure|Children|F
245|The Glass Shield|1994|France|Charles Burnett|Michael Boatman|Lori Petty|Ice Cube|5.6|54|50.76|3.0|3.507600|Crime|Drama|Crime|F
252|I.Q.|1994|USA|Fred Schepisi|Tim Robbins|Meg Ryan|Walter Matthau|5.1|182|60.06|2.8|3.400600|Romance|Comedy|Romance|F
254|Jefferson in Paris|1995|France|James Ivory|Nick Nolte|Greta Scacchi|Jean-Pierre Aumont|4.9|99|93.06|2.8|3.730600|Drama|Drama|Drama|F
263|Ladybird Ladybird|1994|UK|Ken Loach|Crissy Rock|Vladimir Vega|Ray Winstone|7.2|25|22.50|4.0|4.225000|Drama|Drama|Drama|F
