Id,Acceleration,Cylinders,Displacement,Horsepower,Manufacturer,Model,Model_Year,MPG,Origin,Weight
83,14.5,4,120,88,nissan       ,nissan stanza xe                 ,82,36,Japan  ,2160
84,14.5,4,107,75,honda        ,honda accord                     ,82,36,Japan  ,2205
85,16.9,4,108,70,toyota       ,toyota corolla                   ,82,34,Japan  ,2245
86,15,4,91,67,honda        ,honda civic                      ,82,38,Japan  ,1965
87,15.7,4,91,67,honda        ,honda civic (auto)               ,82,32,Japan  ,1965
88,16.2,4,91,67,datsun       ,datsun 310 gx                    ,82,38,Japan  ,1995
89,16.4,6,181,110,buick        ,buick century limited            ,82,25,USA    ,2945
90,17,6,262,85,oldsmobile   ,oldsmobile cutlass ciera (diesel),82,38,USA    ,3015
91,14.5,4,156,92,chrysler     ,chrysler lebaron medallion       ,82,26,USA    ,2585
92,14.7,6,232,112,ford         ,ford granada l                   ,82,22,USA    ,2835
93,13.9,4,144,96,toyota       ,toyota celica gt                 ,82,32,Japan  ,2665
94,13,4,135,84,dodge        ,dodge charger 2.2                ,82,36,USA    ,2370
95,17.3,4,151,90,chevrolet    ,chevrolet camaro                 ,82,27,USA    ,2950
96,15.6,4,140,86,ford         ,ford mustang gl                  ,82,27,USA    ,2790
97,24.6,4,97,52,volkswagen   ,volkswagen pickup                ,82,44,Germany,2130
98,11.6,4,135,84,dodge        ,dodge rampage                    ,82,32,USA    ,2295
99,18.6,4,120,79,ford         ,ford ranger                      ,82,28,USA    ,2625
100,19.4,4,119,82,chevrolet    ,chevrolet s-10                   ,82,31,USA    ,2720

